q,lon,lat
"KING ST W, KITCHENER, Kitchener",-80.48773,43.44922
"ERB ST W, WATERLOO, Waterloo",-80.553915,43.452323
"OTTAWA ST S, KITCHENER, Kitchener",-80.501117,43.420518
"INDIAN RD, KITCHENER, Kitchener",-80.438195,43.456639
"OLD COUNTRY PL, KITCHENER, Kitchener",-80.471758,43.411973
"VANIER DR, KITCHENER, Kitchener",-80.460678,43.425374
"CHARLES ST E, KITCHENER, Kitchener",-80.478895,43.444094
"WEBER ST E, KITCHENER, Kitchener",-80.463448,43.440608
"GREEN VALLEY DR, KITCHENER, Kitchener",-80.570157,40.087801
"BLEAMS RD, KITCHENER, Kitchener",-80.487088,43.403962
"BRIDGE ST E, KITCHENER, Kitchener",-80.458217,43.479173
"BRYBECK CRES, KITCHENER, Kitchener",-80.517902,43.444593
"ROSEMOUNT DR, KITCHENER, Kitchener",-80.46199,43.460857
"GAGE AVE, KITCHENER, Kitchener",-80.516025,43.446725
"ELLIS CRES N, WATERLOO, Waterloo",-80.507648,43.472574
"SCHNEIDER AVE, KITCHENER, Kitchener",-80.497163,43.444947
"BRIDGEPORT RD E, WATERLOO, Waterloo",-80.510638,43.470908
"VICTORIA ST N, KITCHENER, Kitchener",-80.456277,43.466722
"UNIVERSITY AVE W, WATERLOO, Waterloo",-80.541919,43.473563
"QUEEN ST S, KITCHENER, Kitchener",-80.493264,43.445824
"DELLROY AVE, KITCHENER, Kitchener",-80.451658,43.435389
"JOSEPH ST, KITCHENER, Kitchener",-80.497357,43.45022
"SPRUCE ST, WATERLOO, Waterloo",-80.526867,43.479316
"AHRENS ST W, KITCHENER, Kitchener",-80.493855,43.458894
"OVERLEA DR, KITCHENER, Kitchener",-80.518639,43.432736
"SEAGRAM DR, WATERLOO, Waterloo",-80.533323,43.470036
"COLLEGE ST, KITCHENER, Kitchener",-80.492071,43.453412
"COUNTRY HILL DR, KITCHENER, Kitchener",-80.470703,43.414181
"KING ST N, WATERLOO, Waterloo",-80.528096,43.49038
"Hespeler Road & Lang's Drive / Sheldon Drive, Cambridge",-80.310842,43.431257
"Park Hill Road & Water Street, Cambridge",-94.958616,35.861221
"Franklin Boulevard & Saginaw Parkway; Elgin Street, Cambridge",-80.31359,43.358913
"Duke Street & Frederick Street, Kitchener",-80.472621,43.458443
"Homer Watson Boulevard & Pioneer Drive, Kitchener",-80.458753,43.407344
"Ottawa Street & Sunrise Shopping Centre, Kitchener",-80.48773,43.44922
"Bridgeport Road & Albert Street, Waterloo",-80.482513,43.482275
"Bridgeport Road & Regina Street, Waterloo",-80.482513,43.482275
"Erb Street & Regina Street, Waterloo",11.366736,43.31461
"King Street & Bridgeport Road, Waterloo",-80.482513,43.482275
"University Avenue & Dale Crescent / Lincoln Road, Waterloo",-89.022574,43.173486
"Weber Street & Bridgeport Road, Waterloo",-80.482513,43.482275
"Weber Street & Erb Street, Waterloo",-80.52237,43.465187
"Weber Street & Lincoln Road / Bridgeport Plaza, Waterloo",-80.506652,43.466061
"Weber Street & Union Street, Waterloo",-73.91708,42.812546
"Waterloo Street & North of Victoria Street (Forest Glen School), Kitchener",-80.48773,43.44922
"Hilltop Drive & North of Hunt Street (Cedar Creek School), North Dumfries",35.834855,34.437362
"Keats Way & West of Karen Walk (Keatsway School), Waterloo",-80.52237,43.465187
"Bridge Street & East of Cedar Crescent (New Dundee School), Wilmot",-80.5375,43.3501
"Lobsinger Line & West of Herrgott Road (St. Clements Catholic School), Woolwich",-80.65208,43.523087
"Victoria Street South & West of Eastforest Trail (Sandhills PS / St. Dominic Savio), Kitchener",103.697742,1.330923
"Snyder's Road West & West of Breneman Drive (Sir Adam Beck School), Wilmot",-80.642801,43.383417
"Queen's Bush Road & West of Campbell Place (Wellesley School), Wellesley",-71.2927,42.29975
"Elgin Street North & North of Munch Avenue (Elgin Street Public School), Cambridge",35.834855,34.437362
"Laurelwood Drive & West of Brookmill Crescent (St. Nicolas School), Waterloo",-80.52237,43.465187
"Katherine Street & South of Peel Street (Foundation Christian School), Woolwich",-76.3792,39.667998
"Westmount Road East & North of Laurentian Drive (Laurentian PS), Kitchener",-80.48773,43.44922
"Broom Street & West of Douglas Drive (St. Brigid School), North Dumfries",119.867997,-0.895779
"Avenue Road & Near St. Peter School, Cambridge",-93.957264,44.324145
"Weber Street & Near Sunnyside Public School, Kitchener",-80.48773,43.44922
"Bluevale Street North & North of Neilson Avenue (St. Agnes / Bluevale Collegiate), Waterloo",-80.52237,43.465187
"Central Street & West of Dorset Street (MacGregor School), Waterloo",-2.741426,51.126858
"Central Street & East of Dorset Street (Keatsway School area), Waterloo",-2.741426,51.126858
"Lobsinger Line & East of Herrgott Road (St. Clements School), Woolwich",-80.65208,43.523087
